uid,date,amount,isIncome,note,category,owner_id,doc_id
DKsRyhDfPyZGrRTJO9p6F8ngTOH2,2026-03-27T01:55:46.426,10000.0,False,npk,Fertilizer,ROOT_LEVEL,DiaRMfSiF54lkCfN8yBs
DKsRyhDfPyZGrRTJO9p6F8ngTOH2,2026-03-27T01:56:52.211,200000.0,True,crop sale in march,Crop Sale,ROOT_LEVEL,R5c1qbeehNKF3BheBq8b
,2026-03-19T14:27:41.447255,500000.0,False,,Seeds,20Ym6jNMB0UZqX4RHtRugYwbrL63,PnucPZPbEWmwSU3SMcWh
,2026-03-19T14:26:45.354655,100000.0,True,,Crop Sale,20Ym6jNMB0UZqX4RHtRugYwbrL63,YKqRu7qkTDCDTHx37LPs
,2026-03-16T14:44:57.731,3500.0,False,,Seeds,DKsRyhDfPyZGrRTJO9p6F8ngTOH2,1f5clKExHUcK6RqvNeZi
,2026-03-19T04:39:43.846996,10000.0,True,,Crop Sale,DKsRyhDfPyZGrRTJO9p6F8ngTOH2,JWce3GWfH2QyH9WGHrGA
,2026-03-20T08:32:45.342601,100000.0,True,,Crop Sale,DKsRyhDfPyZGrRTJO9p6F8ngTOH2,a5NGzVlmlHfTjIigyIpc
,2026-03-19T15:12:16.102993,100000.0,False,,Seeds,DKsRyhDfPyZGrRTJO9p6F8ngTOH2,dENDqsjPKnVX8PUq8rHk
,2026-03-16T14:44:30.083,10000.0,True,,Crop Sale,DKsRyhDfPyZGrRTJO9p6F8ngTOH2,rZHGd06TPrHdaJktwoB4
,2026-03-18T13:44:16.894,1000.0,False,,Fertilizer,Y0SagUWooxNbxAcIxZiwgHw3IIW2,DtuAFtJ2MqFakQVzow3U
,2026-03-18T13:45:09.285,100000.0,True,,Crop Sale,Y0SagUWooxNbxAcIxZiwgHw3IIW2,oyNemdd3VzS9mNdrzAIO
,2026-03-16T12:08:03.478,100.0,True,,Service,bMDLobzd7UO17s5u8aoD0ntGGON2,1FRnYMDLYullODI0Uglu
,2026-03-16T12:01:58.688,1000.0,True,,Crop Sale,bMDLobzd7UO17s5u8aoD0ntGGON2,8tyeBVjfL3jND5OZAm1o
,2026-03-16T12:02:20.562,120.0,False,,Seeds,bMDLobzd7UO17s5u8aoD0ntGGON2,R0fJ4LtrQWh77VWiuzl8
,2026-03-16T03:26:22.192,500.0,False,watering,Labor,bMDLobzd7UO17s5u8aoD0ntGGON2,Z9V3KWxCJ6OoFTLXxnCW
,2026-03-16T03:25:35.332,1000.0,True,rice sold,Crop Sale,bMDLobzd7UO17s5u8aoD0ntGGON2,f87wwvD11oSvHAWDIZXZ
,2026-03-16T12:17:23.915,10000.0,True,,Crop Sale,bMDLobzd7UO17s5u8aoD0ntGGON2,iic3Rp4o2lvPNZWIxgvm
,2026-03-16T12:01:52.969,1000.0,True,,Crop Sale,bMDLobzd7UO17s5u8aoD0ntGGON2,mGgzVK6FrY8RLDBu2CLG
,2026-03-24T08:08:52.445883,1000.0,False,,Labor,bMDLobzd7UO17s5u8aoD0ntGGON2,nk0j2YXANkSfvlJpQMB7
,2026-03-18T22:52:31.848,100.0,False,,Seeds,bMDLobzd7UO17s5u8aoD0ntGGON2,tASRFFqsSRuQiWNgTl0B
